trade_id,trader_id,ticker,trade_type,shares,price_per_share,total_value_usd,exchange,timestamp,sector,is_flagged
TRD00097,TR041,JPM,Buy,427,184.13,78623.51,NYSE,2024-01-22 09:30:00,Finance,FALSE
TRD00098,TR034,COST,Sell,249,728.92,181501.08,NASDAQ,2024-09-18 09:38:00,Retail,FALSE
TRD00099,TR038,WMT,Sell,499,176.26,87953.74,NYSE,2024-08-28 09:59:00,Retail,FALSE
TRD00100,TR034,BAC,Sell,63,37.59,2368.17,NYSE,2024-03-25 13:58:00,Finance,FALSE
TRD00101,TR028,COST,Buy,365,706.23,257773.95,NASDAQ,2024-07-08 15:33:00,Retail,FALSE
TRD00102,TR027,AAPL,Buy,236,174.89,41274.04,NASDAQ,2024-04-25 12:16:00,Technology,FALSE
TRD00103,TR032,GOOGL,Sell,346,168.94,58453.24,NASDAQ,2024-09-05 15:43:00,Technology,FALSE
TRD00104,TR022,JNJ,Buy,416,162.6,67641.6,NYSE,2024-12-30 09:52:00,Healthcare,FALSE
TRD00105,TR038,XOM,Buy,76,103.09,7834.84,NYSE,2024-03-05 11:51:00,Energy,FALSE
TRD00106,TR017,WMT,Buy,121,170.51,20631.71,NYSE,2024-11-21 13:29:00,Retail,FALSE
TRD00107,TR026,META,Buy,63,486.58,30654.54,NASDAQ,2024-03-07 14:49:00,Technology,FALSE
TRD00108,TR012,MSFT,Buy,80,415.84,33267.2,NASDAQ,2024-06-07 12:07:00,Technology,FALSE
TRD00109,TR039,TSLA,Sell,359,214.11,76865.49,NASDAQ,2024-09-27 10:49:00,Technology,FALSE
TRD00110,TR042,COST,Buy,318,681.65,216764.7,NASDAQ,2024-09-25 10:49:00,Retail,FALSE
TRD00111,TR038,JPM,Buy,22,191.27,4207.94,NYSE,2024-04-15 10:02:00,Finance,FALSE
TRD00112,TR050,AMZN,Buy,66,181.82,12000.12,NASDAQ,2024-02-19 13:09:00,Technology,FALSE
TRD00113,TR044,WMT,Buy,319,177.43,56600.17,NYSE,2024-09-16 13:33:00,Retail,FALSE
TRD00114,TR020,GOOGL,Buy,367,177.06,64981.02,NASDAQ,2024-03-12 09:32:00,Technology,FALSE
TRD00115,TR015,AAPL,Buy,211,182.5,38507.5,NASDAQ,2024-06-03 10:58:00,Technology,FALSE
TRD00116,TR044,AMZN,Buy,431,191.97,82739.07,NASDAQ,2024-01-10 12:54:00,Technology,FALSE
TRD00117,TR040,JPM,Buy,448,192.01,86020.48,NYSE,2024-12-27 14:02:00,Finance,FALSE
TRD00118,TR018,AMZN,Sell,326,179.34,58464.84,NASDAQ,2024-02-20 11:52:00,Technology,FALSE
TRD00119,TR029,MSFT,Buy,121,410.99,49729.79,NASDAQ,2024-08-09 11:04:00,Technology,FALSE
TRD00120,TR012,TSLA,Buy,162,207.61,33632.82,NASDAQ,2024-01-16 11:44:00,Technology,FALSE
TRD00121,TR028,NVDA,Sell,488,634.92,309840.96,NASDAQ,2024-11-18 09:46:00,Technology,FALSE
TRD00122,TR041,MSFT,Buy,453,427.68,193739.04,NASDAQ,2024-07-17 15:58:00,Technology,FALSE
TRD00123,TR014,JNJ,Buy,437,156.74,68495.38,NYSE,2024-06-10 10:42:00,Healthcare,FALSE
TRD00124,TR046,JNJ,Sell,16,146.58,2345.28,NYSE,2024-07-22 12:02:00,Healthcare,FALSE
TRD00125,TR038,XOM,Buy,201,112.56,22624.56,NYSE,2024-11-18 15:19:00,Energy,FALSE
TRD00126,TR016,AAPL,Sell,384,199.8,76723.2,NASDAQ,2024-04-29 12:32:00,Technology,FALSE
TRD00127,TR029,AAPL,Buy,245,177.58,43507.1,NASDAQ,2024-12-16 15:32:00,Technology,FALSE
TRD00128,TR032,JNJ,Sell,311,152.54,47439.94,NYSE,2024-01-15 12:58:00,Healthcare,FALSE
TRD00129,TR047,JPM,Buy,316,193.02,60994.32,NYSE,2024-01-29 09:54:00,Finance,FALSE
TRD00130,TR041,TSLA,Buy,149,200.0,29800.0,NASDAQ,2024-04-23 12:35:00,Technology,FALSE
TRD00131,TR022,NVDA,Sell,199,731.29,145526.71,NASDAQ,2024-07-01 13:57:00,Technology,FALSE
TRD00132,TR014,GOOGL,Buy,204,162.85,33221.4,NASDAQ,2024-07-26 10:02:00,Technology,FALSE
TRD00133,TR048,META,Sell,313,472.52,147898.76,NASDAQ,2024-08-05 10:50:00,Technology,FALSE
TRD00134,TR024,NFLX,Sell,76,630.91,47949.16,NASDAQ,2024-07-25 09:34:00,Technology,FALSE
TRD00135,TR043,AAPL,Sell,336,190.61,64044.96,NASDAQ,2024-05-01 12:01:00,Technology,FALSE
TRD00136,TR014,WMT,Buy,456,179.41,81810.96,NYSE,2024-08-30 13:58:00,Retail,FALSE
TRD00137,TR042,BAC,Sell,169,32.82,5546.58,NYSE,2024-03-25 12:17:00,Finance,FALSE
TRD00138,TR012,AAPL,Sell,431,173.1,74606.1,NASDAQ,2024-04-01 12:07:00,Technology,FALSE
TRD00139,TR034,TSLA,Buy,481,225.56,108494.36,NASDAQ,2024-01-08 13:39:00,Technology,FALSE
TRD00140,TR025,GOOGL,Buy,190,153.64,29191.6,NASDAQ,2024-10-31 09:38:00,Technology,FALSE
TRD00141,TR037,BAC,Buy,346,33.98,11757.08,NYSE,2024-12-11 15:29:00,Finance,FALSE
TRD00142,TR039,XOM,Buy,163,98.51,16057.13,NYSE,2024-02-26 09:40:00,Energy,FALSE
TRD00143,TR040,JPM,Buy,131,182.24,23873.44,NYSE,2024-10-21 10:19:00,Finance,FALSE
TRD00144,TR039,META,Buy,279,499.59,139385.61,NASDAQ,2024-01-19 14:35:00,Technology,FALSE
TRD00145,TR020,GOOGL,Sell,293,156.67,45904.31,NASDAQ,2024-09-13 13:43:00,Technology,FALSE
TRD00146,TR024,NFLX,Sell,456,583.06,265875.36,NASDAQ,2024-06-28 10:11:00,Technology,FALSE
TRD00147,TR031,NFLX,Buy,28,604.82,16934.96,NASDAQ,2024-07-16 11:23:00,Technology,FALSE
TRD00148,TR022,MSFT,Sell,300,427.16,128148.0,NASDAQ,2024-10-14 10:49:00,Technology,FALSE
TRD00149,TR013,JNJ,Sell,425,151.88,64549.0,NYSE,2024-06-18 09:40:00,Healthcare,FALSE
TRD00150,TR014,AAPL,Buy,33,188.58,6223.14,NASDAQ,2024-04-01 13:56:00,Technology,FALSE
TRD00151,TR033,AAPL,Buy,92,171.81,15806.52,NASDAQ,2024-07-15 14:19:00,Technology,FALSE
TRD00152,TR021,MSFT,Buy,44,399.18,17563.92,NASDAQ,2024-05-13 12:41:00,Technology,FALSE
TRD00153,TR046,COST,Buy,445,688.98,306596.1,NASDAQ,2024-08-27 12:32:00,Retail,FALSE
TRD00154,TR017,AMZN,Buy,98,184.5,18081.0,NASDAQ,2024-08-30 11:34:00,Technology,FALSE
TRD00155,TR028,NVDA,Buy,214,640.05,136970.7,NASDAQ,2024-09-10 13:28:00,Technology,FALSE
TRD00156,TR045,META,Sell,233,508.87,118566.71,NASDAQ,2024-07-12 13:19:00,Technology,FALSE
TRD00157,TR019,NFLX,Sell,152,622.33,94594.16,NASDAQ,2024-08-19 10:31:00,Technology,FALSE
TRD00158,TR047,META,Sell,383,490.23,187758.09,NASDAQ,2024-01-15 09:50:00,Technology,FALSE
TRD00159,TR029,META,Sell,136,496.64,67543.04,NASDAQ,2024-08-08 13:40:00,Technology,FALSE
TRD00160,TR044,NFLX,Sell,17,583.76,9923.92,NASDAQ,2024-04-02 14:54:00,Technology,FALSE
TRD00161,TR019,AAPL,Buy,127,194.27,24672.29,NASDAQ,2024-08-28 12:24:00,Technology,FALSE
TRD00162,TR032,GOOGL,Sell,416,168.16,69954.56,NASDAQ,2024-03-18 12:41:00,Technology,FALSE
TRD00163,TR039,WMT,Sell,182,172.22,31344.04,NYSE,2024-01-08 13:40:00,Retail,FALSE
TRD00164,TR041,META,Buy,404,524.25,211797.0,NASDAQ,2024-05-13 13:22:00,Technology,FALSE
TRD00165,TR026,BAC,Buy,38,35.77,1359.26,NYSE,2024-04-15 15:26:00,Finance,FALSE
TRD00166,TR024,JNJ,Sell,229,145.07,33221.03,NYSE,2024-01-22 10:09:00,Healthcare,FALSE
TRD00167,TR014,TSLA,Buy,223,208.5,46495.5,NASDAQ,2024-10-07 09:30:00,Technology,FALSE
TRD00168,TR022,XOM,Buy,379,106.79,40473.41,NYSE,2024-06-28 09:41:00,Energy,FALSE
TRD00169,TR035,META,Buy,493,476.04,234687.72,NASDAQ,2024-06-17 09:48:00,Technology,FALSE
TRD00170,TR042,MSFT,Buy,52,399.3,20763.6,NASDAQ,2024-12-19 15:50:00,Technology,FALSE
TRD00171,TR029,META,Sell,355,487.33,173002.15,NASDAQ,2024-02-26 14:20:00,Technology,FALSE
TRD00172,TR017,AMZN,Buy,116,170.63,19793.08,NASDAQ,2024-02-02 14:47:00,Technology,FALSE
TRD00173,TR042,JPM,Sell,473,196.56,92972.88,NYSE,2024-05-31 12:29:00,Finance,FALSE
TRD00174,TR035,MSFT,Buy,182,400.57,72903.74,NASDAQ,2024-10-28 15:14:00,Technology,FALSE
TRD00175,TR029,GOOGL,Buy,78,159.23,12419.94,NASDAQ,2024-03-18 13:27:00,Technology,FALSE
TRD00176,TR018,COST,Buy,124,712.52,88352.48,NASDAQ,2024-10-02 12:59:00,Retail,FALSE
TRD00177,TR020,META,Buy,318,517.38,164526.84,NASDAQ,2024-06-10 09:40:00,Technology,FALSE
TRD00178,TR050,AAPL,Buy,475,189.67,90093.25,NASDAQ,2024-01-24 10:36:00,Technology,FALSE
TRD00179,TR040,AMZN,Sell,48,177.16,8503.68,NASDAQ,2024-12-26 10:56:00,Technology,FALSE
TRD00180,TR016,XOM,Buy,173,96.61,16713.53,NYSE,2024-08-09 11:16:00,Energy,FALSE
TRD00181,TR025,NFLX,Sell,435,577.72,251308.2,NASDAQ,2024-02-21 12:20:00,Technology,FALSE
TRD00182,TR025,XOM,Sell,366,105.33,38550.78,NYSE,2024-05-08 09:35:00,Energy,FALSE
TRD00183,TR026,GOOGL,Buy,91,166.62,15162.42,NASDAQ,2024-12-10 12:50:00,Technology,FALSE
TRD00184,TR023,META,Buy,341,484.93,165361.13,NASDAQ,2024-12-11 09:51:00,Technology,FALSE
TRD00185,TR040,TSLA,Sell,46,225.0,10350.0,NASDAQ,2024-02-19 11:28:00,Technology,FALSE
TRD00186,TR011,TSLA,Buy,216,199.74,43143.84,NASDAQ,2024-05-23 12:41:00,Technology,FALSE
TRD00187,TR037,AAPL,Buy,495,190.75,94421.25,NASDAQ,2024-12-09 14:58:00,Technology,FALSE
TRD00188,TR045,NFLX,Buy,452,575.91,260311.32,NASDAQ,2024-01-15 12:48:00,Technology,FALSE
TRD00189,TR012,AAPL,Sell,251,193.17,48485.67,NASDAQ,2024-09-25 14:56:00,Technology,FALSE
TRD00190,TR013,GOOGL,Buy,25,176.33,4408.25,NASDAQ,2024-03-28 09:36:00,Technology,FALSE
TRD00191,TR027,JPM,Sell,367,193.54,71029.18,NYSE,2024-01-18 15:07:00,Finance,FALSE
TRD00192,TR016,WMT,Buy,182,177.09,32230.38,NYSE,2024-11-22 11:41:00,Retail,FALSE
TRD00193,TR016,META,Sell,342,514.51,175962.42,NASDAQ,2024-12-25 09:36:00,Technology,FALSE
TRD00194,TR012,GOOGL,Buy,149,164.12,24453.88,NASDAQ,2024-08-15 11:53:00,Technology,FALSE
TRD00195,TR014,WMT,Sell,59,184.98,10913.82,NYSE,2024-01-22 09:32:00,Retail,FALSE
TRD00196,TR043,WMT,Buy,393,181.24,71227.32,NYSE,2024-12-04 14:17:00,Retail,FALSE
TRD00197,TR029,NVDA,Buy,219,717.53,157139.07,NASDAQ,2024-07-25 11:36:00,Technology,FALSE
TRD00198,TR036,JNJ,Buy,243,166.44,40444.92,NYSE,2024-01-02 09:36:00,Healthcare,FALSE
TRD00199,TR038,TSLA,Sell,54,205.44,11093.76,NASDAQ,2024-07-10 14:59:00,Technology,FALSE
TRD00200,TR031,NFLX,Buy,406,645.5,262073.0,NASDAQ,2024-06-13 12:10:00,Technology,FALSE
