transaction_id,date,region,product_id,product_category,units_sold,unit_price,discount_pct,revenue,customer_id
T045,2024-02-15,East,P031,Home & Garden,4.0,149.99,0.15,509.97,C025
T046,02/14/2024,North,P022,Apparel,8.0,99.99,0.05,759.92,C038
T047,03/18/2024,South,P007,HOME & GARDEN,7.0,49.99,0.05,332.43,C025
T048,02/03/2024,North,P022,Apparel,7.0,99.99,0.1,629.94,C006
T049,Jan 06 2024,South,P031,HOME & GARDEN,6.0,149.99,0.05,854.94,C003
T050,Feb 28 2024,East,P012,Electronics,1.0,299.99,0.2,239.99,C008
T051,Mar 09 2024,South,P012,Electronics,5.0,299.99,0.3,1049.96,C046
T052,Jan 16 2024,North,P012,Electronics,2.0,299.99,,599.98,C025
T053,Feb 18 2024,South,P012,ELECTRONICS,4.0,299.99,0.0,1199.96,C039
T054,Jan 11 2024,East,P031,Home & Garden,6.0,149.99,0.2,719.95,C042
T055,03/11/2024,North,P022,Apparel,2.0,99.99,0.15,169.98,C046
T056,02/07/2024,North,P012,Electronics,5.0,299.99,0.2,1199.96,C030
T057,03/21/2024,South,P031,Home & Garden,4.0,149.99,0.3,419.97,C016
T058,2024-03-20,East,P031,Home & Garden,7.0,149.99,,1049.93,C032
T059,2024-02-16,North,P015,Sports & Fitness,5.0,79.99,,399.95,C016
T060,03/14/2024,East,P022,Apparel,4.0,99.99,0.25,299.97,C002
T061,Jan 25 2024,North,P012,Electronics,4.0,299.99,0.1,1079.96,C034
T062,Jan 09 2024,North,P031,Home & Garden,8.0,149.99,0.1,1079.93,C013
T063,Jan 06 2024,North,P031,Home & Garden,3.0,149.99,0.05,427.47,C038
T064,2024-03-25,West,P031,Home & Garden,2.0,149.99,0.3,209.99,C020
T065,2024-01-30,North,P031,home & garden,1.0,149.99,0.0,149.99,C041
T066,02/07/2024,West,P022,APPAREL,1.0,99.99,0.2,79.99,C012
T067,2024-01-11,West,P015,Sports & Fitness,8.0,79.99,0.0,639.92,C037
T068,01/30/2024,East,P007,home & garden,5.0,49.99,0.0,249.95,C039
T069,Jan 13 2024,South,P031,Home & Garden,7.0,149.99,0.15,892.44,C028
T070,Feb 18 2024,North,P031,HOME & GARDEN,2.0,149.99,0.3,209.99,C006
T071,02/05/2024,North,P012,Electronics,3.0,299.99,0.0,899.97,C019
T072,Feb 28 2024,North,P015,Sports & Fitness,8.0,79.99,0.0,639.92,C038
T073,2024-03-22,East,P012,Electronics,4.0,299.99,,1199.96,C005
T074,Feb 16 2024,North,P015,Sports & Fitness,5.0,79.99,,399.95,C026
T075,Jan 21 2024,West,P031,Home & Garden,8.0,149.99,0.0,1199.92,C021
T076,2024-02-17,East,P007,HOME & GARDEN,1.0,49.99,0.3,34.99,C049
T077,Feb 15 2024,East,P022,Apparel,8.0,99.99,0.1,719.93,C032
T078,01/27/2024,West,P022,Apparel,6.0,99.99,0.1,539.95,C027
T079,2024-03-26,East,P015,Sports & Fitness,,79.99,0.3,-79.99,C021
T080,Feb 04 2024,North,P007,Home & Garden,7.0,49.99,0.3,244.95,C035
T081,2024-03-30,South,P007,Home & Garden,6.0,49.99,0.2,239.95,C014
T082,Mar 28 2024,North,P012,Electronics,,299.99,0.25,-299.99,C039
T083,2024-03-23,East,P012,Electronics,1.0,299.99,0.2,239.99,C030
T084,01/10/2024,West,P012,Electronics,5.0,299.99,0.2,1199.96,C031
T085,2024-03-18,North,P031,home & garden,4.0,149.99,0.2,479.97,C018
T086,Mar 22 2024,East,P022,Apparel,5.0,99.99,,499.95,C038
T087,Jan 22 2024,West,P022,Apparel,8.0,99.99,0.2,639.94,C025
T088,03/09/2024,South,P015,Sports & Fitness,4.0,79.99,0.2,255.97,C003
T089,Feb 01 2024,North,P022,Apparel,7.0,99.99,0.15,594.94,C010
T090,2024-01-21,South,P007,home & garden,6.0,49.99,,299.94,C034
T091,02/29/2024,West,P007,Home & Garden,7.0,49.99,0.3,244.95,C017
T092,02/18/2024,North,P022,Apparel,6.0,99.99,0.3,419.96,C041
T093,02/04/2024,East,P022,Apparel,1.0,99.99,,99.99,C015
T094,2024-03-22,East,P022,Apparel,2.0,99.99,0.15,169.98,C003
T095,Mar 29 2024,North,P007,Home & Garden,6.0,49.99,,299.94,C044
T096,Mar 12 2024,East,P012,electronics,7.0,299.99,0.2,1679.94,C010
T097,Jan 29 2024,North,P015,Sports & Fitness,1.0,79.99,0.3,55.99,C011
T098,03/28/2024,North,P015,Sports & Fitness,5.0,79.99,0.25,299.96,C020
T099,02/11/2024,North,P022,Apparel,2.0,99.99,0.05,189.98,C045
T100,01/08/2024,North,P022,Apparel,1.0,99.99,0.2,79.99,C050
T101,Jan 30 2024,East,P031,Home & Garden,4.0,149.99,0.25,449.97,C050
T102,01/05/2024,East,P012,Electronics,,299.99,0.1,-299.99,C047
T103,02/10/2024,North,P015,Sports & Fitness,7.0,79.99,0.05,531.93,C034
T104,02/21/2024,South,P015,Sports & Fitness,5.0,79.99,0.3,279.96,C048
T105,Feb 04 2024,West,P007,Home & Garden,2.0,49.99,0.05,94.98,C047
T106,Jan 09 2024,East,P022,Apparel,,99.99,0.0,-99.99,C008
T107,Jan 28 2024,South,P015,Sports & Fitness,6.0,79.99,0.0,479.94,C036
T108,03/13/2024,North,P031,Home & Garden,2.0,149.99,0.25,224.99,C042
T109,2024-02-10,South,P012,Electronis,1.0,299.99,0.1,269.99,C035
T110,01/28/2024,North,P022,Apparel,7.0,99.99,0.2,559.94,C042
T111,03/24/2024,North,P022,Apparel,5.0,99.99,0.0,499.95,C016
T112,2024-03-04,West,P007,Home & Garden,6.0,49.99,0.2,239.95,C026
T113,Feb 20 2024,North,P007,Home & Garden,8.0,49.99,0.0,399.92,C002
T114,Mar 23 2024,North,P015,Sports & Fitness,3.0,79.99,0.3,167.98,C014
T115,2024-02-28,South,P012,Electronics,,299.99,0.3,-299.99,C009
T116,2024-01-19,South,P012,ELECTRONICS,1.0,299.99,,299.99,C038
T117,2024-02-03,North,P012,Electronics,3.0,299.99,0.25,674.98,C031
T118,2024-01-18,South,P015,Sports & Fitness,2.0,79.99,0.15,135.98,C047
T119,02/01/2024,East,P031,Home & Garden,1.0,149.99,0.0,149.99,C044
T120,03/12/2024,North,P022,APPAREL,2.0,99.99,0.1,179.98,C040
T121,Mar 09 2024,East,P031,Home & Garden,7.0,149.99,0.2,839.94,C028
T122,02/03/2024,North,P007,Home & Garden,4.0,49.99,0.15,169.97,C030
T123,Mar 15 2024,South,P007,Home & Garden,6.0,49.99,0.25,224.95,C031
T124,Feb 24 2024,North,P007,HOME & GARDEN,2.0,49.99,0.25,74.98,C004
T125,03/15/2024,South,P031,Home & Garden,2.0,149.99,0.15,254.98,C047
T126,Feb 21 2024,North,P015,Sports & Fitness,6.0,79.99,0.0,479.94,C031
T127,02/16/2024,North,P007,Home & Garden,6.0,49.99,0.0,299.94,C036
T128,01/29/2024,West,P031,Home & Garden,1.0,149.99,0.2,119.99,C002
T129,Jan 18 2024,North,P015,Sports & Fitness,6.0,79.99,0.0,479.94,C026
T130,03/06/2024,North,P007,HOME & GARDEN,4.0,49.99,0.15,169.97,C020
T131,Mar 04 2024,East,P031,Home & Garden,1.0,149.99,0.05,142.49,C006
T132,2024-01-12,North,P022,Apparel,8.0,99.99,0.15,679.93,C023
T133,01/07/2024,South,P015,Sports & Fitness,8.0,79.99,0.2,511.94,C039
T134,01/15/2024,North,P012,Electronics,4.0,299.99,,1199.96,C008
T135,Jan 20 2024,North,P022,apparel,7.0,99.99,0.2,559.94,C023
T136,Mar 21 2024,North,P007,Home & Garden,8.0,49.99,0.0,399.92,C026
T137,Jan 21 2024,East,P022,Apparel,7.0,99.99,0.0,699.93,C030
T138,2024-03-28,West,P015,SPORTS & FITNESS,2.0,79.99,0.05,151.98,C026
T139,Feb 24 2024,West,P015,Sports & Fitness,3.0,79.99,0.0,239.97,C013
T140,2024-03-17,West,P015,Sports & Fitness,3.0,79.99,,239.97,C039
T141,01/09/2024,North,P007,home & garden,8.0,49.99,0.15,339.93,C044
T142,02/19/2024,West,P031,Home & Garden,6.0,149.99,0.3,629.96,C005
T143,02/18/2024,South,P015,Sports & Fitness,1.0,79.99,0.1,71.99,C003
T144,Mar 17 2024,North,P015,SPORTS & FITNESS,2.0,79.99,0.2,127.98,C036
T145,2024-02-29,West,P007,Home & Garden,4.0,49.99,0.1,179.96,C029
T146,Mar 08 2024,North,P015,Sports & Fitness,,79.99,0.2,-79.99,C029
T147,02/02/2024,West,P031,Home & Garden,3.0,149.99,0.1,404.97,C050
T148,03/11/2024,North,P031,HOME & GARDEN,6.0,149.99,0.0,899.94,C019
T149,01/02/2024,North,P031,Home & Garden,6.0,149.99,0.0,899.94,C020
T150,03/28/2024,West,P022,apparel,2.0,99.99,0.1,179.98,C009
T151,2024-01-15,East,P031,HOME & GARDEN,7.0,149.99,0.2,839.94,C014
T152,2024-03-28,North,P022,Apparel,3.0,99.99,,299.97,C033
T153,2024-03-09,East,P031,HOME & GARDEN,6.0,149.99,0.3,629.96,C011
T154,Feb 04 2024,North,P031,Home & Garden,3.0,149.99,0.25,337.48,C047
T155,03/23/2024,North,P022,Apparel,8.0,99.99,0.05,759.92,C013
T156,Feb 13 2024,South,P031,Home & Garden,8.0,149.99,0.3,839.94,C027
T157,01/15/2024,West,P012,Electronics,3.0,299.99,0.3,629.98,C036
T158,Feb 07 2024,West,P031,Home & Garden,5.0,149.99,0.0,749.95,C010
T159,2024-02-25,West,P007,Home & Garden,4.0,49.99,0.3,139.97,C027
T160,2024-01-21,North,P031,Home & Garden,,149.99,0.0,-149.99,C046
T161,Feb 28 2024,East,P012,electronics,5.0,299.99,0.3,1049.96,C031
T162,Jan 01 2024,South,P007,Home & Garden,1.0,49.99,0.1,44.99,C039
T163,Feb 03 2024,South,P007,Home & Garden,4.0,49.99,,199.96,C040
T164,Mar 05 2024,South,P007,Home & Garden,8.0,49.99,0.2,319.94,C016
T165,Jan 23 2024,East,P015,Sports & Fitness,6.0,79.99,0.05,455.94,C006
T166,03/05/2024,South,P015,SPORTS & FITNESS,1.0,79.99,0.15,67.99,C024
T167,2024-01-14,North,P007,Home & Garden,2.0,49.99,0.1,89.98,C050
T168,Mar 21 2024,South,P015,sports & fitness,6.0,79.99,0.2,383.95,C030
T169,2024-02-08,West,P022,Apparel,3.0,99.99,0.0,299.97,C019
T170,Mar 22 2024,North,P012,Electronics,6.0,299.99,0.1,1619.95,C031
T171,03/05/2024,North,P012,Electronics,1.0,299.99,0.3,209.99,C028
T172,03/18/2024,West,P022,Apparel,7.0,99.99,0.1,629.94,C024
T173,2024-01-26,West,P031,Home & Garden,2.0,149.99,0.25,224.99,C035
T174,2024-01-20,North,P007,HOME & GARDEN,5.0,49.99,0.1,224.96,C045
T175,2024-02-17,South,P022,APPAREL,6.0,99.99,0.2,479.95,C005
T176,01/21/2024,East,P022,Apparel,3.0,99.99,,299.97,C003
T177,Mar 10 2024,North,P012,Electronics,6.0,299.99,0.1,1619.95,C010
T178,03/08/2024,East,P015,Sports & Fitness,2.0,79.99,,159.98,C042
T179,2024-01-01,North,P007,HOME & GARDEN,3.0,49.99,0.15,127.47,C017
T180,2024-03-17,East,P022,Apparel,5.0,99.99,0.25,374.96,C009
T181,02/11/2024,West,P022,apparel,8.0,99.99,0.0,799.92,C043
T182,Mar 03 2024,North,P007,Home & Garden,5.0,49.99,0.1,224.96,C041
T183,01/03/2024,North,P015,Sports & Fitness,2.0,79.99,0.05,151.98,C002
T184,01/15/2024,South,P031,Home & Garden,3.0,149.99,0.2,359.98,C046
T185,02/16/2024,East,P031,Home & Garden,7.0,149.99,0.3,734.95,C042
T186,Feb 09 2024,North,P022,Apparel,6.0,99.99,0.05,569.94,C038
T187,2024-01-31,North,P012,Electronics,1.0,299.99,,299.99,C011
T188,Jan 08 2024,North,P012,Electronics,5.0,299.99,,1499.95,C018
T189,Jan 31 2024,North,P015,Sports & Fitness,2.0,79.99,0.2,127.98,C010
T190,2024-03-13,North,P031,Home & Garden,6.0,149.99,0.3,629.96,C006
T191,2024-01-11,North,P031,Home & Garden,4.0,149.99,0.3,419.97,C032
T192,01/11/2024,West,P031,Home & Garden,5.0,149.99,0.15,637.46,C020
T193,2024-03-03,South,P007,home & garden,7.0,49.99,0.15,297.44,C021
T194,Jan 09 2024,West,P015,Sports & Fitness,6.0,79.99,,479.94,C007
T195,03/09/2024,North,P022,apparel,8.0,99.99,,799.92,C040
T196,Jan 17 2024,South,P012,Electronics,6.0,299.99,0.05,1709.94,C030
T197,2024-01-17,South,P015,Sports & Fitness,2.0,79.99,0.15,135.98,C038
T198,03/25/2024,South,P007,Home & Garden,8.0,49.99,0.1,359.93,C009
T199,2024-03-01,West,P015,Sports & Fitness,6.0,79.99,0.0,479.94,C024
T200,Mar 11 2024,South,P007,Home & Garden,8.0,49.99,0.3,279.94,C044
